Date,Open,Source,High,Low,Adj Close,Volume
2020-03-07,9121.600586,bitcoin,9163.220703,8890.744141,8909.954102,36216930370
2020-03-08,8908.206055,bitcoin,8914.34375,8105.25293,8108.116211,39973102121
2020-03-09,8111.146484,bitcoin,8177.793457,7690.098145,7923.644531,46936995808
2020-03-10,7922.146973,bitcoin,8136.945313,7814.763184,7909.729492,42213940994
2020-03-11,7910.089844,bitcoin,7950.814453,7642.8125,7911.430176,38682762605
2020-03-12,7913.616211,bitcoin,7929.116211,4860.354004,4970.788086,53980357243
2020-03-13,5017.831055,bitcoin,5838.114746,4106.980957,5563.707031,74156772075
2020-03-14,5573.077637,bitcoin,5625.226563,5125.069336,5200.366211,36154506008
2020-03-15,5201.066895,bitcoin,5836.64502,5169.283203,5392.314941,33997889639
2020-03-16,5385.229492,bitcoin,5385.229492,4575.35791,5014.47998,45368026430
2020-03-17,5002.578125,bitcoin,5371.348633,4981.90918,5225.629395,38622642935
2020-03-18,5227.11377,bitcoin,5331.833984,5069.335938,5238.438477,37878801016
2020-03-19,5245.416504,bitcoin,6329.73584,5236.96875,6191.192871,51000731797
2020-03-20,6191.653809,bitcoin,6844.261719,5865.781738,6198.77832,54442976103
2020-03-21,6206.521484,bitcoin,6378.135254,5932.823242,6185.066406,42494390880
2020-03-22,6185.558105,bitcoin,6359.697266,5823.713867,5830.254883,40099664740
2020-03-23,5831.374512,bitcoin,6443.93457,5785.004395,6416.314941,46491916000
2020-03-24,6436.642578,bitcoin,6789.022949,6411.066406,6734.803711,48221910672
2020-03-25,6738.716797,bitcoin,6892.51123,6536.92627,6681.062988,44590107888
2020-03-26,6675.170898,bitcoin,6735.463867,6590.962891,6716.44043,35319797642
2020-03-27,6719.38916,bitcoin,6793.836426,6466.70166,6469.79834,34585598367
2020-03-28,6467.253906,bitcoin,6467.500977,6117.837891,6242.193848,34885225901
2020-03-29,6245.624512,bitcoin,6250.467285,5920.085938,5922.042969,28373690931
2020-03-30,5925.538574,bitcoin,6517.195801,5903.234375,6429.841797,37101651525
2020-03-31,6430.606445,bitcoin,6504.515137,6374.162109,6438.644531,32786468812
2020-04-01,6437.319336,bitcoin,6612.57373,6202.373535,6606.776367,40346426266
2020-04-02,6606.776367,bitcoin,7088.247559,6595.918457,6793.624512,47660646124
2020-04-03,6797.396484,bitcoin,7003.220703,6673.335938,6733.387207,38976504903
2020-04-04,6738.382813,bitcoin,6878.953613,6696.484863,6867.527344,33185988584
2020-04-05,6862.537598,bitcoin,6883.414063,6715.929199,6791.129395,29510409856
2020-04-06,6788.049805,bitcoin,7271.78125,6782.889648,7271.78125,46896904615
2020-04-07,7273.644043,bitcoin,7427.939453,7136.714355,7176.414551,44243482668
2020-04-08,7179.283203,bitcoin,7356.223633,7153.305664,7334.098633,37563249549
2020-04-09,7337.966309,bitcoin,7341.448242,7179.094238,7302.089355,34815139178
2020-04-10,7303.81543,bitcoin,7303.81543,6802.475098,6865.493164,43622840992
2020-04-11,6867.44043,bitcoin,6926.069824,6789.920898,6859.083008,31222085946
2020-04-12,6858.067871,bitcoin,7119.947266,6811.078125,6971.091797,35759567632
